"dok_data";"klientas";"suma";"turinys";"lesos_kodas";"lesos_pavadinimas";"pro_kodas";"pro_pavadinimas";"vf_kodas";"vf_pavadinimas";"eko_kodas";"eko_pavadinimas"
"2017-02-02";"Ðiauliø Juliaus Janonio gimnazija";"1000,00000000";"Pagal paraiðkà Nr. SP1, data 2017-02-01, suma 32 - 5700.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.1.1.1.1.1.E.";"Darbo uþmokestis pinigais"
"2017-03-07";"Ðiauliø Juliaus Janonio gimnazija";"1500,00000000";"Pagal paraiðkà Nr. SP2, data 2017-03-02, suma 32 - 6100.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.1.1.1.1.1.E.";"Darbo uþmokestis pinigais"
"2017-04-06";"Ðiauliø Juliaus Janonio gimnazija";"2300,00000000";"Pagal paraiðkà Nr. SP3, data 2017-04-03, suma 32 - 8400.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.1.1.1.1.1.E.";"Darbo uþmokestis pinigais"
"2017-02-02";"Ðiauliø Juliaus Janonio gimnazija";"300,00000000";"Pagal paraiðkà Nr. SP1, data 2017-02-01, suma 32 - 5700.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.1.2.1.1.1.";"Socialinio draudimo ámokos"
"2017-03-07";"Ðiauliø Juliaus Janonio gimnazija";"500,00000000";"Pagal paraiðkà Nr. SP2, data 2017-03-02, suma 32 - 6100.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.1.2.1.1.1.";"Socialinio draudimo ámokos"
"2017-04-06";"Ðiauliø Juliaus Janonio gimnazija";"700,00000000";"Pagal paraiðkà Nr. SP3, data 2017-04-03, suma 32 - 8400.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.1.2.1.1.1.";"Socialinio draudimo ámokos"
"2017-02-02";"Ðiauliø Juliaus Janonio gimnazija";"3300,00000000";"Pagal paraiðkà Nr. SP1, data 2017-02-01, suma 32 - 5700.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.01.";"Mityba"
"2017-03-07";"Ðiauliø Juliaus Janonio gimnazija";"3400,00000000";"Pagal paraiðkà Nr. SP2, data 2017-03-02, suma 32 - 6100.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.01.";"Mityba"
"2017-04-06";"Ðiauliø Juliaus Janonio gimnazija";"4800,00000000";"Pagal paraiðkà Nr. SP3, data 2017-04-03, suma 32 - 8400.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.01.";"Mityba"
"2017-03-07";"Ðiauliø Juliaus Janonio gimnazija";"100,00000000";"Pagal paraiðkà Nr. SP2, data 2017-03-02, suma 32 - 6100.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.05.";"Ryðiø paslaugos"
"2017-04-06";"Ðiauliø Juliaus Janonio gimnazija";"100,00000000";"Pagal paraiðkà Nr. SP3, data 2017-04-03, suma 32 - 8400.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.05.";"Ryðiø paslaugos"
